順位,名前,点数
1,トヨタ自動車,190
2,本田技研工業,830
3,日産自動車,310
4,日本電信電話,960
5,ＪＸホールディングス,360
6,日立製作所,440
7,ソフトバンクグループ,660
8,豊田通商,230
9,ソニー,60
10,丸紅,310
11,パナソニック,620
12,三菱商事,400
13,第一生命保険,490
14,イオン,1
15,東京電力,670
16,東芝,110
17,セブン＆アイ・ホールディングス,530
18,三菱ＵＦＪフィナンシャル・グループ,990
19,新日鐵住金,590
20,伊藤忠商事,200
21,三井物産,290
22,三井住友フィナンシャルグループ,1060
23,富士通,110
24,ＭＳ＆ＡＤインシュアランスグループホール,910
25,出光興産,430
26,ＫＤＤＩ,60
27,ＮＴＴドコモ,370
28,東京海上ホールディングス,830
29,三菱電機,480
30,デンソー,110
31,三菱重工業,590
32,ジェイ　エフ　イー　ホールディングス,560
33,住友商事,290
34,キヤノン,230
35,ブリヂストン,360
36,三菱ケミカルホールディングス,1100
37,東燃ゼネラル石油,870
38,関西電力,700
39,損保ジャパン日本興亜ホールディングス,1100
40,みずほフィナンシャルグループ,840
41,中部電力,600
42,マツダ,170
43,スズキ,310
44,昭和シェル石油,740
45,アイシン精機,350
46,日本電気,670
47,富士重工業,470
48,メディパルホールディングス,920
49,住友電気工業,840
50,大和ハウス工業,460
51,シャープ,260
52,東日本旅客鉄道,900
53,富士フイルムホールディングス,890
54,アルフレッサ　ホールディングス,870
55,Ｔ＆Ｄホールディングス,360
56,日本郵船,680
57,住友化学,760
58,三菱食品,580
59,東京瓦斯,340
60,リコー,500
61,キリンホールディングス,750
62,東北電力,610
63,三菱自動車工業,760
64,オリックス,590
65,豊田自動織機,770
66,日本たばこ産業,780
67,日鉄住金物産,730
68,東レ,200
69,旭化成,320
70,小松製作所,830
71,スズケン,310
72,野村ホールディングス,780
73,日本通運,180
74,ダイキン工業,660
75,積水ハウス,410
76,神戸製鋼所,760
77,いすゞ自動車,220
78,九州電力,730
79,ダイハツ工業,390
80,商船三井,240
81,双日,60
82,アサヒグループホールディングス,980
83,武田薬品工業,720
84,大林組,400
85,阪和興業,280
86,ＡＮＡホールディングス,420
87,鹿島建設,760
88,日野自動車,190
89,ファーストリテイリング,700
90,ＬＩＸＩＬグループ,670
91,東海旅客鉄道,790
92,ヤマダ電機,390
93,クボタ,250
94,大成建設,470
95,清水建設,490
96,三井化学,700
97,三井不動産,230
98,大阪瓦斯,400
99,凸版印刷,740
100,京セラ,560
101,ヤマハ発動機,430
102,三菱マテリアル,850
103,エヌ・ティ・ティ・データ,290
104,川崎重工業,780
105,大日本印刷,820
106,ＩＨＩ,60
107,花王,200
108,ヤマトホールディングス,420
109,伊藤忠エネクス,290
110,ジェイテクト,280
111,大東建託,610
112,川崎汽船,710
113,ソニーフィナンシャルホールディングス,1080
114,西日本旅客鉄道,880
115,旭硝子,370
116,王子ホールディングス,410
117,日本航空,590
118,トヨタ紡織,340
119,リクルートホールディングス,810
120,中国電力,660
121,三越伊勢丹ホールディングス,1020
122,サントリー食品インターナショナル,1130
123,信越化学工業,840
124,アステラス製薬,710
125,近鉄グループホールディングス,1040
126,大塚ホールディングス,750
127,日本ハム,620
128,三井住友トラスト・ホールディングス,1290
129,飯田グループホールディングス,1000
130,国際石油開発帝石,1090
131,東邦ホールディングス,450
132,明治ホールディングス,470
133,Ｊ．フロント　リテイリング,730
134,博報堂ＤＹホールディングス,980
135,兼松,320
136,積水化学工業,870
137,三菱地所,400
138,セイコーエプソン,620
139,ＴＤＫ,1
140,東京急行電鉄,880
141,日本製紙,350
142,村田製作所,740
143,日本電産,790
144,ユニーグループ・ホールディングス,980
145,コニカミノルタ,620
146,味の素,110
147,日立金属,610
148,住友林業,430
149,山崎製パン,670
150,日本精工,620
151,カルソニックカンセイ,770
152,住友金属鉱山,930
153,第一三共,340
154,高島屋,320
155,三愛石油,320
156,東京センチュリーリース,770
157,昭和電工,340
158,神鋼商事,460
159,古河電気工業,690
160,マルハニチロ,620
161,りそなホールディングス,780
162,ニコン,230
163,オムロン,260
164,エイチ・ツー・オー　リテイリング,850
165,太平洋セメント,180
166,セコム,320
167,住友ゴム工業,600
168,ＤＩＣ,1
169,日東電工,340
170,ＰＡＬＴＡＣ,60
171,岡谷鋼機,560
172,三井造船,230
173,日立建機,560
174,富士電機,300
175,東ソー,200
176,住友不動産,290
177,日揮,530
178,ビックカメラ,670
179,ルネサスエレクトロニクス,860
180,帝人,50
181,東洋製罐グループホールディングス,1040
182,資生堂,170
183,東急不動産ホールディングス,920
184,加藤産業,340
185,ジャパンディスプレイ,690
186,オリンパス,560
187,長瀬産業,280
188,電源開発,420
189,アルプス電気,610
190,三菱ＵＦＪリース,490
191,ファナック,530
192,電通,110
193,豊田合成,160
194,ブラザー工業,680
195,小糸製作所,740
196,ＮＴＮ,60
197,ＮＯＫ,1
198,北海道電力,690
199,岩谷産業,140
200,エディオン,50
201,阪急阪神ホールディングス,1020
202,ドンキホーテホールディングス,920
203,日立物流,370
204,住友重機械工業,900
205,富士石油,310
206,四国電力,700
207,フジクラ,550
208,エア・ウォーター,60
209,キヤノンマーケティングジャパン,840
210,大和証券グループ本社,870
211,フジ・メディア・ホールディングス,670
212,タカタ,260
213,長谷工コーポレーション,770
214,ティーガイア,50
215,宇部興産,340
216,あらた,200
217,日本水産,740
218,日立ハイテクノロジーズ,690
219,ケーズホールディングス,770
220,日本板硝子,340
221,横浜ゴム,370
222,伊藤忠食品,350
223,日新製鋼,410
224,東京エレクトロン,650
225,名古屋鉄道,190
226,大塚商会,710
227,日本発条,670
228,楽天,500
229,森永乳業,480
230,ライフコーポレーション,650
231,東武鉄道,250
232,東邦瓦斯,140
233,イズミ,110
234,ＵＡＣＪ,1
235,稲畑産業,340
236,野村不動産ホールディングス,980
237,ダイワボウホールディングス,490
238,バンダイナムコホールディングス,940
239,光通信,650
240,大陽日酸,90
241,ユニ・チャーム,60
242,キユーピー,560
243,カネカ,560
244,雪印メグミルク,870
245,任天堂,140
246,エーザイ,50
247,バイタルケーエスケー・ホールディングス,1040
248,ニチレイ,200
249,ＴＯＴＯ,120
250,セイノーホールディングス,510
251,沖電気工業,720
252,日立化成,290
253,北陸電力,730
254,カメイ,260
255,日本紙パルプ商事,790
256,三菱瓦斯化学,980
257,日清製粉グループ本社,1030
258,東芝テック,670
259,日清紡ホールディングス,650
260,コカ・コーライーストジャパン,760
261,エイチ・アイ・エス,180
262,レンゴー,250
263,サッポロホールディングス,780
264,小田急電鉄,420
265,しまむら,380
266,ゼンショーホールディングス,620
267,パイオニア,200
268,ミネベア,110
269,ローソン,260
270,ＨＯＹＡ,1
271,テルモ,260
272,マツモトキヨシホールディングス,960
273,大同特殊鋼,750
274,レオパレス２１,620
275,荏原製作所,710
276,西武ホールディングス,470
277,山九,260
278,伊藤ハム,60
